dataset,method,seed,status,reason,aggregation_route,cold_count,hot_count,cold_source,hot_source,R@5,R@10,R@20,N@5,N@10,N@20
MOOCCube,Popularity,2025,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\per_item_full_cold_popularity_static.csv,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\popularity_static_result.json,0.00916553344479005,0.0178945412869362,0.033116624222395,0.00557207604199067,0.00835233455287714,0.0121487825155521
MOOCCube,Popularity,2026,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\per_item_full_cold_popularity_static.csv,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\popularity_static_result.json,0.00919386270217729,0.0175292119517885,0.0329950009020218,0.00546579270217729,0.00808896416407465,0.0119473001905132
MOOCCube,Popularity,2027,ready,,cold_hot_course_count_weighted,68,574,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\per_item_full_cold_popularity_static.csv,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\popularity_static_result.json,0.00946095196012461,0.017179655846729,0.0331795478566978,0.00575651573239875,0.00820166721838006,0.0121984123202492
MOOCCube,BPR,2025,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\bpr_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\bpr_static_result.json,0.167874634779471,0.205503162374806,0.260187790051633,0.129117492521928,0.14121295596112,0.154998817645723
MOOCCube,BPR,2026,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\bpr_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\bpr_static_result.json,0.168435841965319,0.2152398069014,0.267513643106532,0.130683467643235,0.14570922527916,0.158862716969051
MOOCCube,BPR,2027,ready,,cold_hot_course_count_weighted,68,574,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\bpr_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\bpr_static_result.json,0.191561860611526,0.236505792796262,0.291932287217446,0.147769081695327,0.162246125596262,0.176206733760436
MOOCCube,DropoutNet,2025,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_dropoutnet_official_teacher80_student120_v1\dropoutnet_official_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_dropoutnet_official_teacher80_student120_v1\dropoutnet_official_static_result.json,0.143289450079316,0.200228443205754,0.269433632387247,0.100915890627061,0.119196758558787,0.136578549376361
MOOCCube,DropoutNet,2026,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_dropoutnet_official_teacher80_student120_v1\dropoutnet_official_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_dropoutnet_official_teacher80_student120_v1\dropoutnet_official_static_result.json,0.149043967762519,0.199362758883359,0.272766031848212,0.1057400201521,0.122025193938725,0.140486369205132
MOOCCube,DropoutNet,2027,ready,,cold_hot_course_count_weighted,68,574,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_dropoutnet_official_teacher80_student120_v1\dropoutnet_official_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_dropoutnet_official_teacher80_student120_v1\dropoutnet_official_static_result.json,0.159066988883178,0.221946652939564,0.295509062308411,0.111893037080374,0.132200084462928,0.150672117942991
MOOCCube,LightGCN,2025,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\lightgcn_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\lightgcn_static_result.json,0.136914867716796,0.194207223126905,0.265068756630482,0.0939508057202177,0.11236244164339,0.130216087006532
MOOCCube,LightGCN,2026,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\lightgcn_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\lightgcn_static_result.json,0.1395661205521,0.194860500295956,0.269531374795645,0.0966823998004666,0.114510212574806,0.133268245234215
MOOCCube,LightGCN,2027,ready,,cold_hot_course_count_weighted,68,574,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\lightgcn_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\lightgcn_static_result.json,0.11736224301215,0.170730274683178,0.250245730446417,0.0828928669719626,0.100137580961059,0.120053844875389
MOOCCube,CCFCRec,2025,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\ccfcrec_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\ccfcrec_static_result.json,0.0603896785944012,0.0903882845979782,0.130471391904821,0.0441197893622084,0.0537082660614308,0.0637392237620529
MOOCCube,CCFCRec,2026,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\ccfcrec_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2026\main_table_balanced_itemmacro_v1\ccfcrec_static_result.json,0.0497082775203732,0.0745122116780715,0.12070304111493,0.036113792870451,0.0440535536973561,0.0555509712615863
MOOCCube,CCFCRec,2027,ready,,cold_hot_course_count_weighted,68,574,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\ccfcrec_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2027\main_table_balanced_itemmacro_v1\ccfcrec_static_result.json,0.0667329713498442,0.105697615977882,0.162593397896885,0.0465126681853582,0.0590751782205607,0.0733466216046729
MOOCCube,ALDI,2025,ready,,cold_hot_course_count_weighted,68,575,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\aldi_official_static_result.json,outputs\content_delta_pop5\static_item_cold_balanced\strict_item_cold_balanced_thr1_seed_2025\main_table_balanced_itemmacro_v1\aldi_official_static_result.json,0.439972255328686,0.480178151278439,0.521472889837969,0.370788595718227,0.383788853414986,0.394228854970771
