method,MOOCCube_R@5,MOOCCube_R@10,MOOCCube_N@5,MOOCCube_N@10,Junyi_R@5,Junyi_R@10,Junyi_N@5,Junyi_N@10,COCO_R@5,COCO_R@10,COCO_N@5,COCO_N@10
Popularity,0.00927344936903065,0.0175344696951512,0.00559812815885557,0.00821432197844395,0.0164171047064701,0.0286463965355689,0.0100994489611627,0.01400393151512,0.000812851446697215,0.00160967806115242,0.000497967705158763,0.000752191709337037
BPR,0.175957445785439,0.219082920690822,0.135856680620163,0.149722768945514,0.129169627622927,0.18307422960993,0.0894051867628727,0.106748667552289,0.0358023162068934,0.0507430228716348,0.0242992922622391,0.0291227930990803
DropoutNet,0.150466802241671,0.207179285009559,0.106182982619845,0.124474012320147,0.0744547395241158,0.127227615757289,0.0463825409007353,0.0632965940715897,0.0604612507031161,0.0926362891618798,0.0395876878920826,0.0499123933776009
LightGCN,0.131281077093682,0.186599332702013,0.091175357497549,0.109003411726418,0.13384804707907,0.211304171452884,0.0879423122312682,0.112783926536362,0.0118303925020306,0.0207155258049275,0.00744940486787525,0.0102836259081587
CCFCRec,0.0589436424882062,0.0901993707513105,0.0422487501393392,0.0522789993264492,0.0164707480813664,0.0280669405257632,0.0106171940965574,0.0143151925231292,0.0189636283093138,0.0319633712046691,0.0117506996755055,0.0159260730892112
ALDI,0.138296013526316,0.176734555214212,0.104269944247113,0.116614614839761,0.115741669379351,0.185471949161363,0.0748526763673926,0.0971939355835031,0.0216923236047349,0.0328959684898509,0.0142095424655656,0.0178138897834711
KGRec,0.10833012099923,0.143316764481928,0.0846956429809104,0.0959243639546918,0.0315692241529789,0.0558355872361949,0.0192293283259729,0.0270187991533129,0.00676642183407045,0.0127907792147139,0.00409379253480276,0.00601624786862183
CGRC,0.185647029377968,0.239740661003836,0.141097935398336,0.158613167562543,0.148211855205222,0.217028724493082,0.099830508725155,0.121926159534739,0.0415517334162077,0.0647503880941845,0.0264405257595763,0.0339030253481917
PCGNN,0.0240777247409046,0.0519738460448062,0.0144578144829214,0.0233600735603365,0.0453436146395289,0.0897282773091842,0.026056980282349,0.0402432752234927,0.0135460534933514,0.0253778442822548,0.00807506331443976,0.0118390200161343
USIM,0.113599289913674,0.155066155641087,0.0821049437410165,0.095492116468068,0.122110214824423,0.194259484346088,0.0795925938784739,0.102760060049967,0.0302213535496998,0.0448287069098278,0.0197643852409298,0.0244539203599614
SEMCo,0.187962169287402,0.250184193444625,0.134669880373934,0.154762731263949,0.132634848854291,0.21136759923272,0.0843605357056892,0.109616024735896,0.0248242081700269,0.0422630445019122,0.015604273442831,0.021197512169596
CKG-RL,0.104298489088055,0.156787267815037,0.0710761375627141,0.0879400991371051,0.0929837254859408,0.167594350706944,0.0555812810025795,0.0794699590575644,0.0416104637579386,0.0626383024608598,0.0271477963323566,0.0338883750090741
